Tweet ID,Tweet,Date,Likes,Retweets
1891595183759687935,"@The_real_Fenris Aw man, I think it was either elden ring, or warframe. Neither is a good option lol",2025-02-17 21:06:50+00:00,0,0
1891595000334446977,@Uirusu_chan I felt the same so I started playing Elden Ring Convergence mod. Feels like a new game.,2025-02-17 21:06:06+00:00,0,0
1891594602492076234,"Highkey might get into the Fromsoft souls games this year. Do you think it’d be better to start with Dark Souls 1 and play them all in release order or go straight to Elden Ring, feel like everyone says that’s the best https://t.co/I7DYpMt2fc",2025-02-17 21:04:32+00:00,0,0
1891594588650909801,"@BigBankerDefi Solid pick, GTA is always classic. Just finished Elden Ring though. Looking into Seikiro or GoT",2025-02-17 21:04:28+00:00,0,0
1891594547311817131,"@maaarcoooV It's elden ring, can't be that bad yeah? Lol",2025-02-17 21:04:18+00:00,1,0
1891593960302297435,I WANT TO PLAY MORE ELDEN RING,2025-02-17 21:01:58+00:00,160,6
1891593780320416160,crazy to think they gave Blaidd the fattest tits in elden ring,2025-02-17 21:01:15+00:00,1,0
1891593767154483570,@Pirat_Nation @BandaiNamcoUS we don’t want this woke shit in Elden Ring or anything associated with it,2025-02-17 21:01:12+00:00,12,1
1891593715300565218,"""A few years ago, around the time I started playing #EldenRing, I became introduced to Escape the Dark Castle."" #Tabletop #Games #TTRPGs #TTRPG #Geek https://t.co/6CgxKwMZCc",2025-02-17 21:01:00+00:00,0,0
1891593468566229379,Elden Ring Nightreign survey has 3 genders https://t.co/kbA1d7UBYa,2025-02-17 21:00:01+00:00,78,3
